project_name,dep_name
openexr,gcc
stout,gcc
stout,bash
stout,git
initialization-actions,ca-certificates
initialization-actions,gcc
cloud-spanner-emulator,make
cloud-spanner-emulator,sed
cloud-spanner-emulator,tar
cloud-spanner-emulator,gcc
cloud-spanner-emulator,bash
cloud-spanner-emulator,ca-certificates
cloud-spanner-emulator,tzdata
cloud-spanner-emulator,hostname
cloud-spanner-emulator,grep
cloud-spanner-emulator,libc6-dev_build-essential
cloud-spanner-emulator,gzip
cloud-spanner-emulator,dash
cloud-spanner-emulator,patch
elcarro-oracle-operator,tar
elcarro-oracle-operator,bash
elcarro-oracle-operator,gcc
elcarro-oracle-operator,gzip
k8s-cluster-bundle,bash
testgrid,bash
testgrid,git
testgrid,grep
testgrid,dash
testgrid,patch
bazel-bsp,grep
bazel-bsp,git
pcre2,gcc
material.angular.io,tar
material.angular.io,patch
vscode-ng-language-service,tar
vscode-ng-language-service,bash
brpc,make
brpc,sed
brpc,bash
brpc,gcc
brpc,coreutils
brpc,grep
brpc,dash
rules_js,tar
rules_js,bash
rules_js,coreutils
rules_js,gzip
bazel-gazelle,bash
bazel-gazelle,gcc
bazel-gazelle,git
bazel-skylib,sed
bazel-skylib,bash
bazel-skylib,grep
bazel-watcher,dash
bazel-watcher,bash
bazel-watcher,git
bazelisk,bash
bazelisk,grep
buildtools,bash
buildtools,git
rules_dotnet,tar
rules_dotnet,bash
rules_dotnet,gzip
rules_go,tar
rules_go,bash
rules_go,gcc
rules_go,grep
rules_go,gzip
rules_jvm_external,grep
rules_jvm_external,bash
rules_rust,tzdata
rules_rust,bash
starlark,cargo
starlark,git
bazel-deps,bash
Catch2,gcc
verible,sed
verible,bash
verible,gcc
verible,git
verible,libc6-dev_build-essential
verible,grep
aTox,sed
aTox,gcc
gTile,grep
gTile,git
allocation-instrumenter,bash
brotli,gcc
cctz,tzdata
cctz,gcc
cel-cpp,git
cel-spec,git
chrome-ssh-agent,grep
copybara,openjdk-17-jre
cpu_features,libc6-dev_build-essential
cpu_features,git
cpu_features,gcc_build-essential
double-conversion,gcc
flatbuffers,libc6-dev_build-essential
flatbuffers,bash
flatbuffers,gcc_build-essential
gemmlowp,gcc
go-jsonnet,bash
go-jsonnet,golang
guice,bash
j2cl,sed
re2,gcc
gapic-generator-go,tar
gapic-generator-go,bash
grpc-gateway,bash
grpc-java,ca-certificates
grpc-java,bash
grpc-java,gcc_build-essential
bazel-compile-commands-extractor,gcc
rtorrent,make
rtorrent,sed
rtorrent,bash
rtorrent,gcc_build-essential
rtorrent,libc6-dev_build-essential
rtorrent,hostname
rtorrent,grep
prometheus-cpp,ca-certificates
livegrep,ca-certificates
livegrep,tar
livegrep,sed
livegrep,bash
livegrep,git
livegrep,gcc_build-essential
livegrep,grep
livegrep,gzip
opentitan,tar
opentitan,git
opentitan,tzdata
opentitan,gcc_build-essential
opentitan,libc6-dev_build-essential
opentitan,openssl
opentitan,rustc
opentitan,dash
opentitan,binutils
cpuinfo,bash
cpuinfo,gcc
rules_spring,bash
rules_spring,git
rules_spring,grep
srpc,sed
srpc,bash
srpc,git
squzy,bash
rules_proto,bash
rules_proto,gcc
rules_proto,gzip
